Name,md5,Machine,SizeOfOptionalHeader,Characteristics,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SectionsNb,SectionsMeanEntropy,SectionsMinEntropy,SectionsMaxEntropy,SectionsMeanRawsize,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanVirtualsize,SectionsMinVirtualsize,SectionMaxVirtualsize,ImportsNbDLL,ImportsNb,ImportsNbOrdinal,ExportNb,ResourcesNb,ResourcesMeanEntropy,ResourcesMinEntropy,ResourcesMaxEntropy,ResourcesMeanSize,ResourcesMinSize,ResourcesMaxSize,LoadConfigurationSize,VersionInformationSize,legitimate
VirusShare_24eddc3440490282e4b95a872b1f1bc1,24eddc3440490282e4b95a872b1f1bc1,332,224,258,8,0,7680,306688,0,5339,4096,12288,4194304.0,4096,512,4,0,6,0,4,0,335872,1024,353142,2,34112,1048576,4096,1048576,4096,0,16,7,4.88664270914,0.0,7.99882840423,44909.7142857,0,174080,44884.1428571,348,174080,3,41,0,0,6,3.40823010638,2.14607134809,5.15540854179,1314.16666667,48,3752,0,23,0
VirusShare_340df4175885236149eae63f414a7a5e,340df4175885236149eae63f414a7a5e,332,224,258,10,0,120320,385024,0,61562,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,524329,2,33088,1048576,4096,1048576,4096,0,16,5,5.63344949696,4.05376582193,7.96257816425,101068.8,9728,330752,102626.2,9400,339652,3,89,0,0,6,3.67198581831,2.45849222582,5.31755235629,2739.5,48,9640,72,15,0
VirusShare_b2ed6613297570b9537f6a91a57c87d5,b2ed6613297570b9537f6a91a57c87d5,332,224,258,11,0,113664,682496,0,24735,4096,118784,4194304.0,4096,512,5,1,0,0,5,1,851968,1024,2018160160,2,33088,1048576,4096,1048576,4096,0,16,3,4.26337706158,0.206920017787,7.99894163996,94549.3333333,512,246272,281429.333333,512,806912,4,7,1,0,7,4.45336795506,2.62307816502,7.96700202426,80992.8571429,62,534528,0,0,0
VirusShare_d45d93916c150be6e56fb29d06b1ec25,d45d93916c150be6e56fb29d06b1ec25,332,224,258,10,0,119808,385024,0,61532,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,569661,2,33088,1048576,4096,1048576,4096,0,16,5,5.6663371314,4.18953861211,7.96311398057,100966.4,9728,330752,102644.2,9418,339748,3,90,0,0,6,3.77675976631,2.45849222582,5.31755235629,2740.16666667,48,9640,72,15,0
VirusShare_e59403c9bea093e7b8babb2a846b7e10,e59403c9bea093e7b8babb2a846b7e10,332,224,258,11,0,111616,461312,0,19956,4096,118784,4194304.0,4096,512,5,1,0,0,5,1,647168,1024,2018160664,2,33088,1048576,4096,1048576,4096,0,16,3,5.27424134893,0.297500557312,7.99894263468,94720.0,512,228864,213162.666667,512,581632,4,7,1,0,8,6.05696707383,2.72074324837,7.98509183835,45427.25,76,313344,72,0,0
VirusShare_6f889866d888d37bd089b09601035fa2,6f889866d888d37bd089b09601035fa2,332,224,258,8,0,7680,307200,0,5339,4096,12288,4194304.0,4096,512,4,0,6,0,4,0,335872,1024,384048,2,34112,1048576,4096,1048576,4096,0,16,7,4.885836699,0.0,7.99878496139,44982.8571429,0,174592,44957.2857143,348,174592,3,41,0,0,6,3.40238507902,2.09748676858,5.15540854179,1314.16666667,48,3752,0,23,0
jsproxy.dll,1a63fd401c3a43e224dc0fffae2a0a12,34404,240,8226,9,0,28160,35840,0,7708,4096,0,8793691258880.0,4096,512,6,1,6,1,5,2,77824,1024,95781,2,64,262144,4096,1048576,4096,0,16,6,3.80146878347,0.689910560305,6.21517387,10581.3333333,1024,28160,10418.6666667,1016,27988,3,70,1,6,1,3.55701113743,3.55701113743,3.55701113743,920.0,920,920,0,16,1
msfeeds.dll,ccc23680c05eb86a1969eb91362bacf9,332,224,8450,9,0,433664,194560,0,5694,4096,544768,370671616.0,4096,512,6,1,6,1,5,1,638976,1024,628569,2,320,262144,4096,1048576,4096,0,16,4,5.38833106008,3.31126206383,6.65124554203,156672.0,3072,433664,156876.0,4544,433324,6,255,51,3,8,4.36448360518,2.81694031209,4.93390119344,21384.375,216,50578,72,17,1
VirusShare_493c1dccc109b428bb6277a1623222f5,493c1dccc109b428bb6277a1623222f5,332,224,258,10,0,120320,385024,0,61578,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,528384,1024,567081,2,33088,1048576,4096,1048576,4096,0,16,5,5.64644365076,4.11726411592,7.96277585234,101068.8,9728,330752,102623.8,9404,339652,3,89,0,0,6,3.72982390563,2.45849222582,5.31755235629,2739.5,48,9640,72,15,0
VirusShare_8bf6c49b51c5e1e06570ccae0c2e9e82,8bf6c49b51c5e1e06570ccae0c2e9e82,332,224,258,10,0,119808,385536,0,60906,4096,126976,4194304.0,4096,512,5,1,0,0,5,1,524288,1024,549092,2,33088,1048576,4096,1048576,4096,0,16,5,5.6905115876,4.28732687297,7.9585972546,101068.8,9728,335872,102453.8,9416,335552,7,114,0,0,30,7.08206546749,2.45849222582,7.98793727193,11131.7,48,17005,72,15,0
